,model,experiment,Type,level,context,context2,ICCVal,lowerConfInt,upperConfInt,p.value
40,NasICCRatingAgreeWordAverdiinw,Nasalisation,agreement,word,diin-w,o-n,0.821127236,0.535483401,0.952856991,5.25E-05
41,NasICCRatingAgreeWordAverdoomw,Nasalisation,agreement,word,doom-w,o-n,0.71559633,0.328318572,0.922135443,0.001165745
42,NasICCRatingAgreeWordAversaamw,Nasalisation,agreement,word,saam-w,o-n,0.435173299,-0.216237346,0.839025694,0.07673329
43,NasICCRatingAgreeWordAverbeetw,Nasalisation,agreement,word,beet-w,o-o,0.221052632,-0.470098924,0.75665034,0.228560066
44,NasICCRatingAgreeWordAverbooshw,Nasalisation,agreement,word,boosh-w,o-o,0.755244755,0.405937336,0.935058862,0.000633576
45,NasICCRatingAgreeWordAverdaasw,Nasalisation,agreement,word,daas-w,o-o,0.468282252,-0.085616452,0.841285548,0.044544834
46,NasICCRatingConsWordAver3oo3w,Nasalisation,consistency,word,3oo3-w,3--3,0.369230769,-0.595129254,0.835727772,0.159990507
47,NasICCRatingConsWordAver3aamw,Nasalisation,consistency,word,3aam-w,3-n,0.635448578,0.078099232,0.905059297,0.016351847
48,NasICCRatingConsWordAver3eenw,Nasalisation,consistency,word,3een-w,3-n,0.556028369,-0.122743632,0.884375766,0.043315893
49,NasICCRatingConsWordAver3oonw,Nasalisation,consistency,word,3oon-w,3-n,0.879910714,0.696310594,0.968724957,1.44E-06
50,NasICCRatingConsWordAver3aafw,Nasalisation,consistency,word,3aaf-w,3-o,0.447540984,-0.397093415,0.856122225,0.103732916
51,NasICCRatingConsWordAver3eebw,Nasalisation,consistency,word,3eeb-w,3-o,0.576854599,-0.070076938,0.889799574,0.034746353
52,NasICCRatingConsWordAver3iishw,Nasalisation,consistency,word,3iish-w,3-o,0.069767442,-1.352431117,0.757738064,0.399752518
53,NasICCRatingConsWordAver7enw,Nasalisation,consistency,word,7en-w,7-n,0.719158879,0.289791152,0.926860103,0.0033389
54,NasICCRatingConsWordAver7oomw,Nasalisation,consistency,word,7oom-w,7-n,0.914285714,0.783240276,0.977677293,2.25E-08
55,NasICCRatingConsWordAver7aadw,Nasalisation,consistency,word,7aad-w,7-o,0.402614379,-0.510706663,0.844421918,0.13504907
56,NasICCRatingConsWordAver7eefw,Nasalisation,consistency,word,7eef-w,7-o,0.769590643,0.417326199,0.939994127,0.000785051
57,NasICCRatingConsWordAver7ookw,Nasalisation,consistency,word,7ook-w,7-o,0.800514139,0.495527497,0.948047582,0.000238762
58,NasICCRatingConsWordAver3eebv,Nasalisation,consistency,word,3eeb-v,Isolation,0.54863388,-0.141443285,0.882450008,0.046611813
59,NasICCRatingConsWordAver3oo3v,Nasalisation,consistency,word,3oo3-v,Isolation,-0.210309278,-2.060706899,0.684797241,0.584608414
60,NasICCRatingConsWordAver7eefv,Nasalisation,consistency,word,7eef-v,Isolation,0.884630739,0.708246891,0.969954201,9.05E-07
61,NasICCRatingConsWordAverbii3v,Nasalisation,consistency,word,bii3-v,Isolation,-0.171428571,-1.9623829,0.694923005,0.562443389
62,NasICCRatingConsWordAverdjuu3v,Nasalisation,consistency,word,djuu3-v,Isolation,0.723529412,0.300843634,0.927998328,0.003000289
63,NasICCRatingConsWordAverdoomv,Nasalisation,consistency,word,doom-v,Isolation,0.803024575,0.501876046,0.948701379,0.00021386
64,NasICCRatingConsWordAvermaatv,Nasalisation,consistency,word,maat-v,Isolation,0.7543379,0.378754093,0.936021831,0.001284438
65,NasICCRatingConsWordAvernaa7v,Nasalisation,consistency,word,naa7-v,Isolation,0.706598985,0.258028896,0.92358911,0.004468048
